192.168.1.124, 2017-04-27 22:25:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.409000
192.168.1.124, 2017-04-27 22:26:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.083000
192.168.1.124, 2017-04-27 22:26:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.318000
192.168.1.124, 2017-04-27 22:27:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.101000
192.168.1.124, 2017-04-27 22:27:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.342000
192.168.1.124, 2017-04-27 22:28:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.138000
192.168.1.124, 2017-04-27 22:28:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.346000
192.168.1.124, 2017-04-27 22:29:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.122000
192.168.1.124, 2017-04-27 22:29:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.405000
192.168.1.124, 2017-04-27 22:30:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.166000
192.168.1.124, 2017-04-27 22:30:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.380000
